    bed9    bea3    bf5d    3dbc    3f21    3e3d    3f3f    3b0b    3a8b
    bed7    bea0    bf5e    3dbc    3f21    3e3d    3f3f    3b51    3b51
    bed9    bea0    bf5e    3dbc    3f21    3e3d    3f3f    0000    0000
    bed9    bea2    bf5f    3dbc    3f21    3e3d    3f3f    3a8b    ba8b
    beda    bea2    bf5e    3dbc    3f21    3e3d    3f3f    3a8b    3b51
    beda    bea1    bf5e    3dbc    3f21    3e3d    3f3f    3b0b    3b51
    bed9    bea2    bf5e    3dbc    3f21    3e3d    3f3f    ba8b    bb0b
    bed9    be9f    bf5d    3dbc    3f21    3e3d    3f3f    0000    ba8b
    beda    bea2    bf5f    3dbc    3f21    3e3d    3f3f    3a8b    3b8b
    bed9    bea0    bf5e    3dbc    3f21    3e3d    3f3f    3a8b    0000
