acc_x_1,acc_y_1,acc_z_1,acc_x_2,acc_y_2,acc_z_2,acc_x_3,acc_y_3,acc_z_3,acc_x_4,acc_y_4,acc_z_4,acc_x_5,acc_y_5,acc_z_5,acc_x_6,acc_y_6,acc_z_6
16155,16162,48835,16225,16027,48678,16233,15861,48935,16218,15983,48971,16184,48812,16198,49005,15614,48819
16400,16247,48831,16449,16407,49065,16453,16382,49114,16290,16066,49087,49056,16257,49035,48958,48950,48829
15814,16196,48948,16098,16178,48816,16123,16154,48892,15998,16000,48968,16122,48905,16161,48974,16024,48800
16276,16148,48839,16297,15867,48831,16266,48901,48948,16298,48775,48780,16113,15942,16261,49019,48901,48288
16271,16104,48900,16224,15958,48879,16100,48846,48951,16253,48931,48862,15763,49092,16316,49002,48441,48604
16042,48711,48821,16333,15742,48877,16296,16227,49032,16208,15920,49058,48636,16194,48790,49006,15762,48786
16165,48358,48983,16151,48470,48969,16029,48870,48976,16183,48908,48814,16129,48707,16252,49045,48720,15891
16192,15552,48917,16160,48705,48912,16045,48850,48970,16174,48941,48776,48262,48911,16226,48936,48601,16077
16128,48929,48986,16022,48848,49018,48722,48805,49021,16011,48973,48901,48530,48975,15892,48999,15819,16204
16309,16047,48966,16365,16290,49053,16256,16138,49065,16224,48917,49000,48522,48515,48896,48906,48896,16207
15929,48851,49020,48832,16139,49027,48418,16146,48911,48561,48566,48990,48895,49024,48753,48819,15408,16243
16031,48931,48966,15753,48848,49026,48924,48759,49006,48692,49015,48869,48805,49024,15200,48847,15617,16241
48586,48933,48962,48744,48649,48998,48871,16019,48967,48778,48870,48937,48856,48934,48791,48826,15640,16224
48621,48919,48953,48776,48649,48987,48902,15918,48949,48819,48930,48911,48276,49011,48819,48461,16006,16261
15826,48941,48944,48334,48523,49024,49002,48469,48950,48922,48962,48851,48489,48999,48797,48600,15686,16243
48775,48912,48817,48783,48779,48911,48802,48581,48911,48948,48522,48977,48553,48972,48931,16128,15979,16259
48932,48820,48931,48948,48583,48955,49000,15826,48864,48942,48939,48809,15759,48862,48981,16016,16016,16208
48956,48922,48899,49005,48826,48907,49046,48770,48740,48962,48919,48679,15388,48941,48909,16123,16138,16181
48878,48870,48874,48931,48679,48926,48983,16023,48867,48987,48849,48925,16053,48981,48931,16137,16117,16194
48923,48901,48923,48947,48605,48949,49007,16018,48842,48975,48937,48791,48548,48932,48977,16105,16144,16176
48736,48948,48915,48869,48901,48947,48912,48725,48923,48722,48935,48829,48646,49020,48784,15794,16069,16246
48276,48944,48956,48772,48757,48997,48966,48828,48932,48800,49029,48362,48896,49027,15272,48857,16121,16231
48511,49009,48951,48823,48939,48978,49010,48832,48964,48858,49055,48679,48971,48976,48777,48769,16031,16244
