acc_x_1,acc_y_1,acc_z_1,acc_x_2,acc_y_2,acc_z_2,acc_x_3,acc_y_3,acc_z_3,acc_x_4,acc_y_4,acc_z_4,acc_x_5,acc_y_5,acc_z_5,acc_x_6,acc_y_6,acc_z_6
16151,48625,16219,15675,48788,16246,48748,48798,16259,48847,48696,16263,49042,15801,16189,15806,15904,16242
48324,15832,16195,48735,48767,16276,48760,48904,16309,48787,48940,16315,48977,15985,16115,48522,15923,16250
15906,16095,16164,15994,48016,16202,16014,48902,16245,15008,48991,16174,49032,15759,16146,15872,15956,16261
16054,16074,16131,15999,48553,16130,16042,48866,16085,48372,48937,16019,48981,48415,16040,48136,16005,16270
16039,48786,16108,48208,48901,16020,48710,48907,15931,48474,48979,16011,48999,48703,16064,48112,15976,16256
16167,49043,16294,15831,49008,16180,48551,48968,15904,15624,49024,15936,48985,48852,16092,15464,15974,16241
16182,48990,16091,48382,49024,16148,48640,48962,48555,48152,49015,15679,48958,48926,16102,48574,15962,16238
16137,48963,48196,16090,48878,48805,15884,49058,16134,15704,49041,16091,48922,48931,16067,48642,15975,16241
16090,48965,48652,16064,48988,15998,15878,49029,16048,15745,49024,16117,48931,48931,16085,48694,15979,16240
16173,48956,48583,16140,48955,15949,16040,48977,16039,16021,48973,16172,48919,48914,16134,48818,15940,16224
16192,48973,15796,16173,48969,16136,16126,48993,16162,16104,48944,16256,48938,48843,16187,48905,15701,16162
16235,48738,48847,16245,48750,15810,16185,48900,16065,16133,48799,16216,48863,48747,16258,48949,48646,16121
16268,48852,48739,16275,48767,48455,16259,48784,48660,16258,15590,15913,15813,15975,16201,49025,48671,16036
16258,15874,48972,16240,48518,48947,16206,48268,48905,16242,15934,48759,16048,16096,16198,49031,48706,15913
16127,16145,48813,16191,16043,48914,16225,15955,48982,16258,16007,48965,16214,16168,15915,49029,48804,48534
15987,16145,15648,16153,16023,15522,16226,15763,48838,16284,15670,48895,16261,16166,15673,48994,48845,48884
15908,16295,48595,15901,16281,48896,16099,16271,48902,16100,16057,15779,16202,16167,16030,48961,48874,48847
15936,16242,48910,16124,16196,15772,16162,16172,15938,16136,16087,16174,16156,16163,16051,48962,48878,48901
16026,16216,48927,16154,16217,48406,16180,16159,16063,16127,16151,16169,16171,16193,16036,48965,48862,48866
16129,16200,48834,16136,16164,48290,16151,16122,14848,16105,16164,48552,15759,16227,16053,48944,48898,48887
16121,16177,48839,16092,16182,48943,16188,16162,48966,16186,16156,48926,16012,16253,15752,48957,48909,48888
16027,16183,49051,16002,16151,49048,16073,16171,49034,16123,16158,48939,48643,16196,16205,48964,48896,48766
16202,16060,49012,16224,16047,48938,16225,16076,48927,16199,16143,48783,15915,16218,16059,49003,48873,15452
16213,16114,48944,16244,16111,48928,16253,16072,48836,16197,16154,48292,15882,16189,16165,48997,48818,16046
16195,16040,48694,16221,16109,48711,16261,16050,48538,16125,16074,16051,48294,16181,16157,49014,48872,16025
16242,15883,15905,16212,48266,16030,16197,48762,16063,16142,48694,16164,48795,16015,16217,48997,48828,16125
16263,48728,48212,16205,48893,15877,16139,48941,15928,15983,48998,16060,48999,48715,16151,48905,48737,16199
16154,48908,48604,16051,48951,48523,15781,48968,15598,48600,49010,15798,49035,48778,16021,48719,48647,16256
15978,48915,48769,48522,48908,48796,48796,48866,48723,48677,48814,48786,48920,48785,48376,48568,15072,16257
15806,48988,48912,48749,49001,48925,48902,48986,48936,48865,48960,48962,48899,48927,48830,15997,15787,16179
48747,48913,49010,48875,48859,49019,48907,48824,49031,48793,48847,49046,48767,49057,48819,16062,16134,16234
48712,48393,48933,48642,15770,48956,48602,48667,48988,16037,48714,49027,16019,49028,48718,15897,16149,16070
15924,16056,49045,16071,15812,49068,16136,48629,49095,16201,48961,49077,16155,49093,15958,15808,16213,16021
16004,16093,49086,16133,16001,49104,16144,15689,49116,15971,48943,49074,16212,48999,48498,48901,16131,15748
16146,15608,49041,16141,48380,49047,16144,15651,49032,16244,48687,48993,16197,48563,16100,49048,16000,48418
16200,15942,48986,16189,48470,48975,16150,48750,48913,16152,48873,48645,16090,15954,16161,49031,15360,48850
16275,15999,48807,16252,15772,48829,16237,48451,48793,16236,15944,48760,16038,16196,16006,49034,48913,48856
16162,16110,48512,16098,16152,48611,16188,16223,48856,16167,16285,48964,16083,16278,48867,49018,48948,48711
16216,16111,48852,16261,16153,48782,16304,16176,48939,16275,16210,48938,16117,16179,48941,48934,48947,48635
16197,16171,49079,16274,16165,49026,16237,16173,48965,16147,16201,48680,48945,16229,16201,48886,48884,16097
16195,16058,48690,16168,16105,48657,16188,16199,48901,16185,16257,48925,48551,16256,48834,48954,48935,16096
16181,16174,15858,16131,16225,15742,16068,16221,15920,48858,16201,16022,48938,16070,48664,48774,48973,16178
16094,15956,16260,15956,16138,16120,15660,16106,15997,48849,16161,48803,48590,48380,48924,48832,48882,16278
16090,48578,16257,48821,48912,16341,49035,48987,16310,49035,48972,16089,48954,48988,48529,16000,48838,16060
48827,16094,16165,48726,16132,16026,48756,16135,15967,48966,15931,16006,49019,48983,48816,16274,15912,16263
